transaction_id,account_id,transaction_time,amount,merchant_category,ip_country,device_id,channel,is_fraud_txn
1,583,2025-01-28 23:04:00,182.28,GiftCards,US,dev_599,pos,0
2,720,2025-03-15 03:38:00,162.35,Grocery,GB,dev_490,web,0
3,799,2025-01-08 10:22:00,220.55,GiftCards,CA,dev_988,web,0
4,891,2025-01-30 23:41:00,213.12,Grocery,CA,dev_155,mobile,0
5,537,2025-01-06 10:34:00,143.4,Travel,GB,dev_814,web,0
6,157,2025-01-07 21:46:00,249.35,GiftCards,GB,dev_689,pos,0
7,93,2025-01-29 13:18:00,197.66,Electronics,US,dev_444,web,0
8,488,2025-03-15 23:03:00,139.3,Travel,US,dev_508,pos,0
9,445,2025-03-31 04:48:00,38.04,Restaurants,US,dev_599,mobile,0
10,668,2025-03-15 06:35:00,155.92,Fuel,GB,dev_352,web,0
11,74,2025-02-04 13:20:00,172.76,Restaurants,US,dev_215,pos,0
12,424,2025-02-24 11:22:00,51.67,Travel,GB,dev_771,web,0
13,789,2025-02-09 05:22:00,155.97,GiftCards,GB,dev_249,mobile,0
14,46,2025-01-30 06:43:00,96.59,Fuel,US,dev_215,pos,0
15,56,2025-02-01 19:59:00,41.18,Travel,US,dev_451,pos,0
16,824,2025-01-15 09:28:00,120.44,Travel,US,dev_857,pos,0
17,217,2025-01-27 17:33:00,188.84,Restaurants,CA,dev_737,pos,0
18,145,2025-03-30 22:42:00,9.51,Restaurants,GB,dev_144,mobile,0
19,175,2025-01-08 09:12:00,198.35,Restaurants,US,dev_154,mobile,0
20,671,2025-01-02 02:24:00,166.79,Fuel,US,dev_985,web,0
21,20,2025-02-07 20:24:00,61.64,GiftCards,GB,dev_826,web,0
22,926,2025-02-10 15:55:00,151.29,Grocery,US,dev_303,pos,0
23,990,2025-02-28 17:59:00,179.55,Grocery,US,dev_642,mobile,0
24,342,2025-03-04 12:47:00,43.47,Travel,US,dev_463,pos,0
25,310,2025-01-31 16:17:00,203.91,Fuel,US,dev_999,mobile,0
26,912,2025-01-04 17:17:00,60.27,Travel,CA,dev_772,web,0
27,90,2025-02-18 16:43:00,155.05,Fuel,US,dev_527,web,0
28,587,2025-01-20 13:19:00,85.67,Restaurants,US,dev_311,pos,0
29,142,2025-03-16 17:43:00,201.03,Electronics,US,dev_805,pos,0
30,921,2025-03-09 04:27:00,248.94,Electronics,GB,dev_261,mobile,0
31,70,2025-03-13 17:46:00,34.0,Travel,US,dev_844,web,0
32,784,2025-02-10 13:26:00,79.32,Fuel,US,dev_255,web,0
33,110,2025-01-17 05:01:00,191.8,Restaurants,GB,dev_373,pos,0
34,581,2025-03-20 07:38:00,61.88,Fuel,US,dev_467,web,0
35,705,2025-03-03 04:32:00,212.3,GiftCards,US,dev_288,mobile,0
36,504,2025-03-02 04:10:00,52.35,Grocery,CA,dev_882,web,0
37,948,2025-02-04 13:14:00,186.88,Electronics,US,dev_167,web,0
38,950,2025-02-26 19:31:00,173.53,GiftCards,US,dev_537,mobile,0
39,795,2025-01-06 19:47:00,206.96,Fuel,US,dev_503,pos,0
40,962,2025-03-15 19:34:00,219.57,Grocery,GB,dev_211,mobile,0
41,468,2025-01-06 07:33:00,136.78,Fuel,US,dev_671,mobile,0
42,529,2025-03-22 01:12:00,76.34,GiftCards,US,dev_892,mobile,0
43,473,2025-01-22 13:18:00,155.22,Grocery,GB,dev_245,mobile,0
44,850,2025-03-24 14:05:00,182.05,Grocery,US,dev_897,pos,0
45,961,2025-03-31 17:08:00,101.3,Travel,CA,dev_125,web,0
46,465,2025-03-17 22:57:00,54.47,GiftCards,US,dev_356,mobile,0
47,709,2025-03-25 22:50:00,45.18,Fuel,US,dev_193,web,0
48,724,2025-02-27 20:23:00,25.9,Fuel,CA,dev_844,pos,0
49,627,2025-01-21 12:35:00,98.25,Electronics,US,dev_679,pos,0
50,884,2025-01-20 05:55:00,40.43,Fuel,US,dev_529,mobile,0
51,317,2025-02-27 09:40:00,49.27,Electronics,US,dev_103,pos,0
52,784,2025-02-02 00:29:00,126.92,GiftCards,GB,dev_926,web,0
53,623,2025-03-05 07:13:00,149.27,GiftCards,CA,dev_519,mobile,0
54,82,2025-03-18 19:00:00,64.95,Restaurants,US,dev_734,pos,0
55,571,2025-01-27 01:11:00,41.32,Fuel,US,dev_137,web,0
56,875,2025-01-05 21:36:00,210.31,Travel,US,dev_189,web,0
57,112,2025-02-23 05:10:00,169.66,Restaurants,GB,dev_686,pos,0
58,182,2025-02-28 23:37:00,93.25,Grocery,US,dev_886,mobile,0
59,331,2025-02-17 12:52:00,21.58,GiftCards,GB,dev_166,mobile,0
60,483,2025-01-18 03:44:00,215.55,Travel,GB,dev_523,pos,0
61,215,2025-03-31 06:39:00,19.26,Restaurants,GB,dev_189,mobile,0
62,742,2025-03-30 19:59:00,198.11,Fuel,US,dev_537,pos,0
63,869,2025-02-10 08:33:00,145.91,Restaurants,US,dev_232,pos,0
64,577,2025-03-05 16:46:00,159.81,GiftCards,US,dev_724,web,0
65,726,2025-02-07 06:00:00,33.96,GiftCards,US,dev_855,web,0
66,819,2025-03-20 13:26:00,16.15,Travel,GB,dev_925,pos,0
67,218,2025-01-02 20:12:00,174.05,Travel,US,dev_415,mobile,0
68,519,2025-03-12 10:49:00,6.5,Fuel,US,dev_449,mobile,0
69,742,2025-03-14 19:01:00,208.85,Electronics,US,dev_953,mobile,0
70,945,2025-03-28 15:58:00,121.25,Grocery,US,dev_593,web,0
71,643,2025-02-28 17:57:00,87.1,GiftCards,US,dev_955,pos,0
72,307,2025-03-14 23:43:00,82.3,Restaurants,US,dev_313,pos,0
73,702,2025-02-12 11:04:00,242.56,Travel,US,dev_447,mobile,0
74,642,2025-03-10 05:36:00,153.39,Electronics,GB,dev_219,mobile,0
75,723,2025-02-10 22:02:00,71.52,Grocery,CA,dev_998,web,0
76,381,2025-02-27 09:13:00,133.65,Electronics,US,dev_483,web,0
77,797,2025-01-26 02:28:00,128.97,GiftCards,GB,dev_257,web,0
78,349,2025-03-03 23:55:00,133.29,Travel,US,dev_887,web,0
79,842,2025-03-08 21:08:00,55.27,Grocery,CA,dev_496,pos,0
80,886,2025-03-08 03:00:00,81.19,Grocery,GB,dev_992,web,0
81,342,2025-03-01 01:06:00,132.54,Fuel,US,dev_123,pos,0
82,777,2025-02-09 20:57:00,56.41,Electronics,US,dev_393,mobile,0
83,546,2025-02-10 14:42:00,33.82,Electronics,US,dev_380,web,0
84,16,2025-03-21 17:32:00,30.08,Restaurants,US,dev_662,mobile,0
85,278,2025-01-19 22:51:00,74.4,Electronics,US,dev_172,mobile,0
86,628,2025-02-13 17:28:00,17.43,Grocery,CA,dev_791,web,0
87,109,2025-02-19 01:05:00,109.48,Electronics,GB,dev_706,pos,0
88,857,2025-03-30 22:28:00,156.0,Travel,US,dev_937,web,0
89,731,2025-03-27 17:05:00,243.55,GiftCards,GB,dev_234,web,0
90,833,2025-03-31 14:06:00,116.62,Fuel,CA,dev_581,web,0
91,971,2025-01-29 04:55:00,224.45,Travel,US,dev_501,web,0
92,717,2025-03-27 10:50:00,215.89,Travel,CA,dev_599,web,0
93,67,2025-03-02 03:22:00,122.27,Electronics,US,dev_886,mobile,0
94,619,2025-03-15 04:32:00,30.22,Fuel,US,dev_433,pos,0
95,666,2025-01-10 09:34:00,117.94,Restaurants,CA,dev_344,pos,0
96,250,2025-03-12 05:30:00,99.04,Travel,US,dev_933,pos,0
97,606,2025-02-25 13:36:00,197.9,Restaurants,US,dev_277,pos,0
98,686,2025-01-10 23:59:00,179.42,GiftCards,US,dev_706,pos,0
99,475,2025-02-11 17:06:00,206.4,Electronics,US,dev_515,web,0
100,613,2025-01-14 21:52:00,151.12,GiftCards,US,dev_606,pos,0
101,677,2025-01-08 02:13:00,205.17,Restaurants,US,dev_875,web,0
102,677,2025-01-20 14:34:00,76.42,Restaurants,GB,dev_557,web,0
103,211,2025-03-29 10:19:00,144.72,Fuel,US,dev_545,pos,0
104,938,2025-02-14 02:37:00,6.99,Restaurants,CA,dev_967,web,0
105,873,2025-02-07 01:23:00,225.76,Grocery,US,dev_820,pos,0
106,841,2025-02-15 03:55:00,74.14,Grocery,US,dev_542,pos,0
107,605,2025-02-20 20:20:00,179.38,GiftCards,CA,dev_545,pos,0
108,217,2025-03-26 05:30:00,39.07,Restaurants,CA,dev_963,mobile,0
109,861,2025-02-23 04:18:00,249.38,Fuel,US,dev_237,web,0
110,74,2025-03-24 00:09:00,181.73,GiftCards,CA,dev_239,web,0
111,141,2025-03-24 13:55:00,116.73,Fuel,GB,dev_535,pos,0
112,185,2025-02-28 16:27:00,115.26,Travel,US,dev_290,mobile,0
113,620,2025-01-01 18:31:00,212.47,Electronics,GB,dev_375,mobile,0
114,949,2025-03-11 18:23:00,13.2,Grocery,GB,dev_594,pos,0
115,378,2025-01-15 18:30:00,240.63,Grocery,US,dev_847,pos,0
116,540,2025-02-05 14:33:00,24.17,Restaurants,US,dev_351,mobile,0
117,646,2025-03-26 21:04:00,172.6,Restaurants,GB,dev_419,pos,0
118,55,2025-02-13 17:49:00,1525.89,Electronics,DE,dev_531,mobile,1
119,984,2025-02-07 09:10:00,13.65,Restaurants,US,dev_844,pos,0
120,267,2025-01-08 20:30:00,146.64,Restaurants,US,dev_772,mobile,0
121,829,2025-03-21 00:18:00,123.77,Electronics,GB,dev_178,mobile,0
122,259,2025-01-17 19:17:00,72.43,Travel,US,dev_859,web,0
123,619,2025-01-23 18:47:00,42.03,GiftCards,US,dev_927,web,0
124,268,2025-03-31 07:31:00,49.3,Restaurants,US,dev_451,web,0
125,991,2025-01-19 19:59:00,206.32,GiftCards,CA,dev_888,mobile,0
126,244,2025-03-26 14:46:00,161.21,Electronics,GB,dev_851,mobile,0
127,56,2025-03-24 08:48:00,205.79,Grocery,US,dev_575,mobile,0
128,488,2025-02-08 15:47:00,237.32,Restaurants,US,dev_488,pos,0
129,723,2025-02-19 15:16:00,40.56,GiftCards,US,dev_395,mobile,0
130,392,2025-03-28 10:33:00,172.3,Grocery,US,dev_644,pos,0
131,363,2025-02-25 19:58:00,164.76,Travel,US,dev_376,mobile,0
132,822,2025-01-13 08:41:00,148.12,GiftCards,US,dev_851,pos,0
133,603,2025-01-25 16:21:00,171.04,Electronics,US,dev_660,web,0
134,689,2025-01-02 02:00:00,105.76,Restaurants,US,dev_801,mobile,0
135,360,2025-01-29 23:18:00,66.71,Grocery,US,dev_734,web,0
136,59,2025-03-18 21:57:00,209.69,Restaurants,US,dev_825,web,0
137,89,2025-03-19 04:24:00,165.82,Fuel,GB,dev_922,web,0
138,918,2025-01-15 22:11:00,67.07,GiftCards,US,dev_754,mobile,0
139,945,2025-02-05 13:44:00,226.33,Travel,US,dev_265,web,0
140,284,2025-01-08 12:24:00,86.5,Grocery,US,dev_932,mobile,0
141,183,2025-02-26 02:31:00,244.96,Electronics,GB,dev_502,web,0
142,661,2025-03-04 03:09:00,137.45,GiftCards,US,dev_728,pos,0
143,109,2025-02-26 22:16:00,30.31,Grocery,US,dev_685,pos,0
144,257,2025-02-27 00:57:00,126.94,Fuel,US,dev_138,pos,0
145,400,2025-02-04 04:44:00,85.81,GiftCards,GB,dev_103,pos,0
146,725,2025-03-04 15:27:00,103.96,Fuel,US,dev_653,web,0
147,4,2025-02-19 22:52:00,34.69,Restaurants,US,dev_441,pos,0
148,311,2025-02-21 01:40:00,249.27,Fuel,US,dev_474,pos,0
149,874,2025-02-13 02:53:00,117.61,Travel,US,dev_280,pos,0
150,41,2025-02-19 21:12:00,78.22,GiftCards,US,dev_745,pos,0
151,368,2025-03-04 02:56:00,160.03,Fuel,US,dev_243,web,0
152,198,2025-01-04 23:37:00,63.43,GiftCards,US,dev_911,pos,0
153,659,2025-02-09 15:34:00,203.89,Grocery,US,dev_447,web,0
154,346,2025-01-06 12:07:00,56.86,Fuel,GB,dev_569,pos,0
155,892,2025-03-10 04:47:00,146.94,Grocery,US,dev_853,web,0
156,501,2025-03-25 00:30:00,227.26,Restaurants,US,dev_348,pos,0
157,665,2025-01-17 00:11:00,160.0,Travel,US,dev_567,pos,0
158,175,2025-03-17 02:52:00,205.28,Grocery,CA,dev_709,pos,0
159,226,2025-01-09 06:27:00,87.65,Fuel,CA,dev_432,web,0
160,1000,2025-03-29 18:34:00,38.65,Electronics,US,dev_707,web,0
161,344,2025-01-09 03:17:00,39.6,GiftCards,US,dev_813,mobile,0
162,567,2025-01-22 14:15:00,231.79,Grocery,US,dev_202,pos,0
163,628,2025-02-18 05:01:00,220.51,Grocery,US,dev_107,web,0
164,949,2025-01-12 22:41:00,150.46,Travel,CA,dev_810,mobile,0
165,709,2025-01-17 06:09:00,161.76,Restaurants,CA,dev_521,web,0
166,961,2025-01-23 19:44:00,14.22,Electronics,CA,dev_726,web,0
167,643,2025-02-08 11:26:00,6.12,Electronics,US,dev_220,pos,0
168,98,2025-03-21 11:55:00,191.48,Restaurants,GB,dev_324,mobile,0
169,789,2025-03-22 21:13:00,72.72,Electronics,US,dev_915,web,0
170,702,2025-03-02 15:11:00,44.14,Grocery,US,dev_760,mobile,0
171,292,2025-01-27 13:16:00,86.9,GiftCards,US,dev_206,pos,0
172,54,2025-03-10 05:10:00,197.45,GiftCards,GB,dev_218,web,0
173,917,2025-01-31 23:28:00,150.21,Travel,CA,dev_303,pos,0
